#Energy(eV)    Se(eV/A)   Range(A)
   8.8000000000000000E+01   4.2476826175539264E+00   1.8138218940513053E+02
   8.9000000000000000E+01   4.2478637196649380E+00   1.8161760687229764E+02
   9.0000000000000000E+01   4.2477683710734651E+00   1.8185302196312205E+02
   9.1000000000000000E+01   4.2195310135620749E+00   1.8208922741094355E+02
   9.2000000000000000E+01   4.2191049043652926E+00   1.8232623254122186E+02
   9.3000000000000000E+01   4.2183430104289839E+00   1.8256327104344490E+02
   9.4000000000000000E+01   4.2172671004512585E+00   1.8280036118941493E+02
   9.5000000000000000E+01   4.2159024551539410E+00   1.8303751995151302E+02
   9.6000000000000000E+01   4.2142661382382105E+00   1.8327476313985437E+02
   9.7000000000000000E+01   4.1866813935826528E+00   1.8351283409027590E+02
   9.8000000000000000E+01   4.1848844973023471E+00   1.8375173803228759E+02
   9.9000000000000000E+01   4.1828599587502051E+00   1.8399075108145266E+02
   1.0000000000000000E+02   4.1806233623755809E+00   1.8422988590916006E+02
   1.0399900000000000E+02   4.1461971171023944E+00   1.8519041300743100E+02
   1.0400100000000000E+02   4.1461447781348237E+00   1.8519089538020950E+02
   1.1000000000000000E+02   4.0837561846256207E+00   1.8664883388848384E+02
   1.2000000000000000E+02   3.9717633241902828E+00   1.8913208358884259E+02
   1.3000000000000000E+02   3.8506936864626060E+00   1.9168943762576680E+02
   1.4000000000000000E+02   3.7417530179749243E+00   1.9432417702526172E+02
   1.5000000000000000E+02   3.6436303690222127E+00   1.9703270682839582E+02
   1.5399900000000000E+02   3.5919477536272679E+00   1.9813813447289289E+02
   1.5400100000000000E+02   3.5919135501271842E+00   1.9813869127651574E+02
   1.6000000000000000E+02   3.5403777851157989E+00   1.9982098745489716E+02
   1.7000000000000000E+02   3.4495665969686420E+00   2.0268272356557790E+02
   1.8000000000000000E+02   3.4668726192735950E+00   2.0557440302539146E+02
   1.9000000000000000E+02   3.3820474345075611E+00   2.0849501943978018E+02
   2.0000000000000000E+02   3.3042319034865093E+00   2.1148662482437575E+02
   2.1000000000000000E+02   3.2376288088354563E+00   2.1454417590583176E+02
   2.2000000000000000E+02   3.1748469576590681E+00   2.1766339506874439E+02
   2.3000000000000000E+02   3.1196931948580442E+00   2.2084099583733604E+02
   2.4000000000000000E+02   3.0747993505402875E+00   2.2406983991117579E+02
   2.5000000000000000E+02   3.0360537729762127E+00   2.2734283693057105E+02
   2.6000000000000000E+02   3.0068315502764076E+00   2.3065259156622852E+02
   2.7000000000000000E+02   2.9796478118524092E+00   2.3399352221779355E+02
   2.8000000000000000E+02   2.9581035464698031E+00   2.3736184502142962E+02
   2.9000000000000000E+02   2.9374607553974865E+00   2.4075426755750286E+02
   3.0000000000000000E+02   2.9153660843324074E+00   2.4417146843678398E+02
   3.1000000000000000E+02   2.8965778263522628E+00   2.4761269383679348E+02
   3.2000000000000000E+02   2.8768601639577671E+00   2.5107687467899589E+02
   3.3000000000000000E+02   2.8646166953323782E+00   2.5456031481787730E+02
   3.4000000000000000E+02   2.8466430485783709E+00   2.5806220388925948E+02
   3.5000000000000000E+02   2.8280848848967119E+00   2.6158663962191815E+02
   3.6000000000000000E+02   2.8113532581807190E+00   2.6513312342820711E+02
   3.7000000000000000E+02   2.7917166106176277E+00   2.6870263908997680E+02
   3.8000000000000000E+02   2.7748388777054318E+00   2.7229555824846625E+02
   3.9000000000000000E+02   2.7561218523144291E+00   2.7591160797548974E+02
   4.0000000000000000E+02   2.7400626025739587E+00   2.7955052710466197E+02
   4.1000000000000000E+02   2.7220654367212997E+00   2.8321214341716831E+02
   4.2000000000000000E+02   2.7066277912184926E+00   2.8689630107640863E+02
   4.3000000000000000E+02   2.6892013478585803E+00   2.9060290632552915E+02
   4.4000000000000000E+02   2.6720206288086428E+00   2.9433343743987086E+02
   4.5000000000000000E+02   2.6582528500973712E+00   2.9808561516802325E+02
   4.6000000000000000E+02   2.6380210387726315E+00   3.0186191002611002E+02
   4.7000000000000000E+02   2.6242933191903806E+00   3.0566254502150736E+02
   4.8000000000000000E+02   2.6060379057824581E+00   3.0948644121206695E+02
   4.9000000000000000E+02   2.5931556696556357E+00   3.1333321523465492E+02
   5.0000000000000000E+02   2.5758585821672462E+00   3.1720246824557847E+02
   5.1000000000000000E+02   2.5576826776911363E+00   3.2109846317581065E+02
   5.2000000000000000E+02   2.5432377283327829E+00   3.2501935564123914E+02
   5.3000000000000000E+02   2.5231948189799023E+00   3.2896696825031631E+02
   5.4000000000000000E+02   2.5120414111679290E+00   3.3293899601965126E+02
   5.5000000000000000E+02   2.4927557299795886E+00   3.3693522132513652E+02
   5.6000000000000000E+02   2.4778765431211101E+00   3.4095889037042650E+02
   5.7000000000000000E+02   2.4612583734628979E+00   3.4500822831114192E+02
   5.8000000000000000E+02   2.4432033475246420E+00   3.4908620305899575E+02
   5.9000000000000000E+02   2.4318581039314044E+00   3.5318873766639462E+02
   6.0000000000000000E+02   2.4164138169602820E+00   3.5731396069011788E+02
   6.1000000000000000E+02   2.3994641333366307E+00   3.6146694129987810E+02
   6.2000000000000000E+02   2.3828658029772876E+00   3.6564905361606304E+02
   6.3000000000000000E+02   2.3704760491487509E+00   3.6985664829442896E+02
   6.4000000000000000E+02   2.3564135010920801E+00   3.7408779793369820E+02
   6.5000000000000000E+02   2.3407894286163042E+00   3.7834569813101967E+02
   6.6000000000000000E+02   2.3254815467542400E+00   3.8263182196449316E+02
   6.7000000000000000E+02   2.3104813554597268E+00   3.8694596550018338E+02
   6.8000000000000000E+02   2.2957807452899783E+00   3.9128792504795513E+02
   6.9000000000000000E+02   2.2813713386019217E+00   3.9565749762236527E+02
   7.0000000000000000E+02   2.2672448244007342E+00   4.0005448171362087E+02
   7.1000000000000000E+02   2.2533937238457740E+00   4.0447867700075670E+02
   7.2000000000000000E+02   2.2398097557896643E+00   4.0892988489512106E+02
   7.3000000000000000E+02   2.2246266892446820E+00   4.1340978545373690E+02
   7.4000000000000000E+02   2.2115835290761008E+00   4.1791817705553939E+02
   7.5000000000000000E+02   2.1987842494289120E+00   4.2245298445670471E+02
   7.6000000000000000E+02   2.1862229252345440E+00   4.2701401784256183E+02
   7.7000000000000000E+02   2.1720853409800429E+00   4.3160300265694895E+02
   7.8000000000000000E+02   2.1599886427768120E+00   4.3621976497942705E+02
   7.9000000000000000E+02   2.1430068337439154E+00   4.4086776231351672E+02
   8.0000000000000000E+02   2.1313943312743930E+00   4.4554681485073979E+02
   8.1000000000000000E+02   2.1199874777711814E+00   4.5025120153703131E+02
   8.2000000000000000E+02   2.1087808753957855E+00   4.5498074422886225E+02
   8.3000000000000000E+02   2.0961474026214790E+00   4.5973711085701569E+02
   8.4000000000000000E+02   2.0836069320583777E+00   4.6452212414603787E+02
   8.5000000000000000E+02   2.0697789092615180E+00   4.6933752595466234E+02
   8.6000000000000000E+02   2.0593773677639273E+00   4.7418116120869934E+02
   8.7000000000000000E+02   2.0476073766116789E+00   4.7905095389306564E+02
   8.8000000000000000E+02   2.0358719997467762E+00   4.8394877835604541E+02
   8.9000000000000000E+02   2.0228990436573668E+00   4.8887642865016801E+02
   9.0000000000000000E+02   2.0117319057725522E+00   4.9383354950423421E+02
   9.1000000000000000E+02   2.0022252731615930E+00   4.9881619164386831E+02
   9.2000000000000000E+02   1.9881934409732598E+00   5.0382825898179129E+02
   9.3000000000000000E+02   1.9775840252678516E+00   5.0887144239531005E+02
   9.4000000000000000E+02   1.9685712265875956E+00   5.1393969314879189E+02
   9.5000000000000000E+02   1.9551324237758254E+00   5.1903697785772067E+02
   9.6000000000000000E+02   1.9450386945808900E+00   5.2416499233481261E+02
   9.7000000000000000E+02   1.9364830976393796E+00   5.2931763561232765E+02
   9.8000000000000000E+02   1.9222368751299710E+00   5.3450077218496506E+02
   9.9000000000000000E+02   1.9139841940799143E+00   5.3971426019761338E+02
   1.0000000000000000E+03   1.9042896140170640E+00   5.4495226300620800E+02
   1.1000000000000000E+03   1.8068713132253249E+00   5.9888091562341640E+02
   1.2000000000000000E+03   1.7198528092467882E+00   6.5562531319927768E+02
   1.3000000000000000E+03   1.6331308716561690E+00   7.1531360847277369E+02
   1.4000000000000000E+03   1.5606646246595535E+00   7.7796728110837148E+02
   1.5000000000000000E+03   1.4958538880224617E+00   8.4343063833144174E+02
   1.6000000000000000E+03   1.4074748521313285E+00   9.1238097626821695E+02
   1.7000000000000000E+03   1.3514297004633864E+00   9.8490344459944788E+02
   1.8000000000000000E+03   1.3002877595989157E+00   1.0603543262731635E+03
   1.8439990000000000E+03   1.2517360027856776E+00   1.0948484650468608E+03
   1.8440010000000000E+03   1.2517350520892956E+00   1.0948500628284658E+03
   1.9000000000000000E+03   1.2257507422075422E+00   1.1400613498523962E+03
   2.0000000000000000E+03   1.1822300714021416E+00   1.2231456296712956E+03
   2.1000000000000000E+03   1.1420851445530129E+00   1.3092181549931693E+03
   2.2000000000000000E+03   1.1049187107848408E+00   1.3982499257815016E+03
   2.3000000000000000E+03   1.0704115364747853E+00   1.4902131298109150E+03
   2.4000000000000000E+03   1.0382894400842106E+00   1.5850802648805522E+03
   2.5000000000000000E+03   1.0083152894064671E+00   1.6828240578934976E+03
   2.6000000000000000E+03   9.8028288175303357E-01   1.7834174072393839E+03
   2.7000000000000000E+03   9.5391963471202956E-01   1.8868384093160835E+03
   2.8000000000000000E+03   9.2924369014445651E-01   1.9930609251010014E+03
   2.9000000000000000E+03   9.0603047180098539E-01   2.1020539058213321E+03
   3.0000000000000000E+03   8.8415570418208600E-01   2.2137908129950979E+03
   3.1000000000000000E+03   8.6350832736281702E-01   2.3282452594374299E+03
   3.2000000000000000E+03   8.4398868883590716E-01   2.4453910807136604E+03
   3.3000000000000000E+03   8.2536228069122064E-01   2.5652130392970134E+03
   3.4000000000000000E+03   8.0782977934855138E-01   2.6876867250813452E+03
   3.5000000000000000E+03   7.9118047067297437E-01   2.8127776589107743E+03
   3.6000000000000000E+03   7.7534715629170514E-01   2.9404616078034064E+03
   3.7000000000000000E+03   7.6026855369017421E-01   3.0707150847077924E+03
   3.8000000000000000E+03   7.4588872439363585E-01   3.2035154469262384E+03
   3.9000000000000000E+03   7.3215661922324560E-01   3.3388409738791343E+03
   4.0000000000000000E+03   7.1884011480449272E-01   3.4766888697314944E+03
   4.1000000000000000E+03   7.0626581792871002E-01   3.6170402409090548E+03
   4.2000000000000000E+03   6.9421240617556457E-01   3.7598591812574182E+03
   4.3000000000000000E+03   6.8264464125012236E-01   3.9051277976734305E+03
   4.4000000000000000E+03   6.7153042201899604E-01   4.0528291388999601E+03
   4.5000000000000000E+03   6.6084050896510127E-01   4.2029471507902881E+03
   4.6000000000000000E+03   6.5054823791779459E-01   4.3554666234739361E+03
   4.7000000000000000E+03   6.4044309081892825E-01   4.5103958240329439E+03
   4.8000000000000000E+03   6.3089049330378155E-01   4.6677198298600633E+03
   4.9000000000000000E+03   6.2168372581189457E-01   4.8273996339354280E+03
   5.0000000000000000E+03   6.1260012606672987E-01   4.9894456920302418E+03
   5.1000000000000000E+03   6.0402569852332455E-01   5.1538429376728718E+03
   5.2000000000000000E+03   5.9574431371358660E-01   5.3205494958061372E+03
   5.3000000000000000E+03   5.8752877193801201E-01   5.4895803341815126E+03
   5.4000000000000000E+03   5.7978615091072094E-01   5.6609212426231697E+03
   5.5000000000000000E+03   5.7207866488808290E-01   5.8345605034000955E+03
   5.6000000000000000E+03   5.6460657063773034E-01   6.0105183117009201E+03
   5.7000000000000000E+03   5.5757572535634470E-01   6.1887494706673378E+03
   5.8000000000000000E+03   5.5054285879628950E-01   6.3692428395513989E+03
   5.9000000000000000E+03   5.4371450828389079E-01   6.5520223156246566E+03
   6.0000000000000000E+03   5.3729981230316870E-01   6.7370402555499641E+03
   6.1000000000000000E+03   5.3085384734701391E-01   6.9242860529402078E+03
   6.2000000000000000E+03   5.2458676087974609E-01   7.1137870541227639E+03
   6.3000000000000000E+03   5.1849101041290391E-01   7.3055338597914570E+03
   6.4000000000000000E+03   5.1255947959880777E-01   7.4995172013730016E+03
   6.5000000000000000E+03   5.0678544293215200E-01   7.6957279373097272E+03
   6.6000000000000000E+03   5.0116253867822669E-01   7.8941570506392545E+03
   6.7000000000000000E+03   4.9568473679029124E-01   8.0947956483336056E+03
   6.8000000000000000E+03   4.9056066445543051E-01   8.2975904077408959E+03
   6.9000000000000000E+03   4.8535529636445263E-01   8.5025319171906922E+03
   7.0000000000000000E+03   4.8027872772274777E-01   8.7096554473021843E+03
   7.1000000000000000E+03   4.7532609255373337E-01   8.9189526044786890E+03
   7.2000000000000000E+03   4.7028262633846651E-01   9.1304625932833042E+03
   7.3000000000000000E+03   4.6556539445019612E-01   9.3441779372366764E+03
   7.4000000000000000E+03   4.6095894534831772E-01   9.5600437652504243E+03
   7.5000000000000000E+03   4.5645929711652400E-01   9.7780520869150932E+03
   7.6000000000000000E+03   4.5206265861076877E-01   9.9981950154088554E+03
   7.7000000000000000E+03   4.4776541336638381E-01   1.0220464766330810E+04
   7.8000000000000000E+03   4.4356412103852938E-01   1.0444853654859066E+04
   7.9000000000000000E+03   4.3945549693657582E-01   1.0671354092634945E+04
   8.0000000000000000E+03   4.3543639906841458E-01   1.0899958588393727E+04
   8.1000000000000000E+03   4.3130546304898770E-01   1.1130713040086239E+04
   8.2000000000000000E+03   4.2745796669978586E-01   1.1363610724972472E+04
   8.3000000000000000E+03   4.2369141729821203E-01   1.1598591705286392E+04
   8.4000000000000000E+03   4.2000320389966128E-01   1.1835648831236087E+04
   8.5000000000000000E+03   4.1639080981612897E-01   1.2074775041561858E+04
   8.6000000000000000E+03   4.1266053762648458E-01   1.2316019506941117E+04
   8.7000000000000000E+03   4.0919412201270222E-01   1.2559375866461392E+04
   8.8000000000000000E+03   4.0579664175141894E-01   1.2804781685303355E+04
   8.9000000000000000E+03   4.0227891586130016E-01   1.3052287983795104E+04
   9.0000000000000000E+03   3.9901446626846909E-01   1.3301888596967210E+04
   9.1000000000000000E+03   3.9581287178729535E-01   1.3553519656310766E+04
   9.2000000000000000E+03   3.9267225834957781E-01   1.3807174627621818E+04
   9.3000000000000000E+03   3.8940937876960496E-01   1.4062906857812995E+04
   9.4000000000000000E+03   3.8638683519730721E-01   1.4320710430828658E+04
   9.5000000000000000E+03   3.8342010415000360E-01   1.4580519689844734E+04
   9.6000000000000000E+03   3.8033024949429672E-01   1.4842389648438773E+04
   9.7000000000000000E+03   3.7747181297812832E-01   1.5106314564397648E+04
   9.8000000000000000E+03   3.7466459003772856E-01   1.5372227482982142E+04
   9.9000000000000000E+03   3.7173384853250518E-01   1.5640185015058465E+04
   1.0000000000000000E+04   3.6902620835979866E-01   1.5910181581827785E+04
   1.1000000000000000E+04   3.4370895476103885E-01   1.8719818052779538E+04
   1.2000000000000000E+04   3.2198953377933359E-01   2.1727382711514627E+04
   1.3000000000000000E+04   3.0324319582576265E-01   2.4929069828485539E+04
   1.4000000000000000E+04   2.8675583192344301E-01   2.8321555141831592E+04
   1.5000000000000000E+04   2.7223315345152216E-01   3.1901859784400800E+04
   1.6000000000000000E+04   2.5933593816916545E-01   3.5666521926199333E+04
   1.7000000000000000E+04   2.4769208692250783E-01   3.9613158465821019E+04
   1.8000000000000000E+04   2.3721124309831954E-01   4.3739619697095783E+04
   1.9000000000000000E+04   2.2782020663475661E-01   4.8042158724127192E+04
   2.0000000000000000E+04   2.1600377826209449E-01   5.2551646184368074E+04
   2.1000000000000000E+04   2.0811895068180220E-01   5.7268892741419884E+04
   2.2000000000000000E+04   2.0087865809847710E-01   6.2160429788795613E+04
   2.3000000000000000E+04   1.9420534171816928E-01   6.7224089080021964E+04
   2.4000000000000000E+04   1.8803354732593419E-01   7.2457783525752006E+04
   2.5000000000000000E+04   1.8230763675247552E-01   7.7859500364989930E+04
   2.6000000000000000E+04   1.7698000184034945E-01   8.3427295191346930E+04
   2.7000000000000000E+04   1.7200965636158499E-01   8.9159286699096570E+04
   2.8000000000000000E+04   1.6736111548740767E-01   9.5053652039110006E+04
   2.9000000000000000E+04   1.6300349636364164E-01   1.0110862269439425E+05
   3.0000000000000000E+04   1.5890979034446251E-01   1.0732248080083131E+05
   3.1000000000000000E+04   1.5505626971594580E-01   1.1369355585178570E+05
   3.2000000000000000E+04   1.5142200072486439E-01   1.2022022173477948E+05
   3.3000000000000000E+04   1.4798844121367999E-01   1.2690089405709648E+05
   3.4000000000000000E+04   1.4473910618110808E-01   1.3373402772407469E+05
   3.5000000000000000E+04   1.4165928820599633E-01   1.4071811473854919E+05
   3.6000000000000000E+04   1.3873582244047275E-01   1.4785168219571508E+05
   3.7000000000000000E+04   1.3595688814231824E-01   1.5513329045048292E+05
   3.8000000000000000E+04   1.3331184018551084E-01   1.6256153143784893E+05
   3.9000000000000000E+04   1.3079106544603109E-01   1.7013502712968449E+05
   4.0000000000000000E+04   1.2838585982121645E-01   1.7785242811296994E+05
   4.1000000000000000E+04   1.2608832250383617E-01   1.8571241227747619E+05
   4.2000000000000000E+04   1.2389126477562289E-01   1.9371368360100823E+05
   4.3000000000000000E+04   1.2178813096054507E-01   2.0185497102326027E+05
   4.4000000000000000E+04   1.1977292979543938E-01   2.1013502739908412E+05
   4.5000000000000000E+04   1.1784017451136763E-01   2.1855262852387095E+05
   4.6000000000000000E+04   1.1598483046596431E-01   2.2710657222542289E+05
   4.7000000000000000E+04   1.1420226921809604E-01   2.3579567751403595E+05
   4.8000000000000000E+04   1.1248822803893077E-01   2.4461878378783693E+05
   4.9000000000000000E+04   1.1083877428749847E-01   2.5357475008785710E+05
   5.0000000000000000E+04   1.0925027382514099E-01   2.6266245439758757E+05
   5.1000000000000000E+04   1.0771936302779002E-01   2.7188079298511130E+05
   5.2000000000000000E+04   1.0624292389273737E-01   2.8122867978394002E+05
   5.3000000000000000E+04   1.0481806189118284E-01   2.9070504580846592E+05
   5.4000000000000000E+04   1.0344208614829112E-01   3.0030883860155492E+05
   5.5000000000000000E+04   1.0211249171684891E-01   3.1003902171305742E+05
   5.6000000000000000E+04   1.0082694369011391E-01   3.1989457420588779E+05
   5.7000000000000000E+04   9.9583262916606574E-02   3.2987449018749205E+05
   5.8000000000000000E+04   9.8379413125169513E-02   3.3997777836590400E+05
   5.9000000000000000E+04   9.7213489339424475E-02   3.5020346162789332E+05
   6.0000000000000000E+04   9.6083707386817402E-02   3.6055057663732115E+05
   6.1000000000000000E+04   9.4988394416243876E-02   3.7101817345263925E+05
   6.2000000000000000E+04   9.3925980259032829E-02   3.8160531516376266E+05
   6.3000000000000000E+04   9.2894989668640682E-02   3.9231107754454290E+05
   6.4000000000000000E+04   9.1894035164055227E-02   4.0313454872051929E+05
   6.5000000000000000E+04   9.0921810577206497E-02   4.1407482885265077E+05
   6.6000000000000000E+04   8.9977085128773962E-02   4.2513102983440197E+05
   6.7000000000000000E+04   8.9058698031846129E-02   4.3630227500259428E+05
   6.8000000000000000E+04   8.8165553590970405E-02   4.4758769885792251E+05
   6.9000000000000000E+04   8.7296616599131849E-02   4.5898644679942832E+05
   7.0000000000000000E+04   8.6450908271335281E-02   4.7049767486934090E+05
   7.1000000000000000E+04   8.5627502372679437E-02   4.8212054950657062E+05
   7.2000000000000000E+04   8.4825521729783887E-02   4.9385424731257488E+05
   7.3000000000000000E+04   8.4044135027345854E-02   5.0569795482356194E+05
   7.4000000000000000E+04   8.3282553786577063E-02   5.1765086829281843E+05
   7.5000000000000000E+04   8.2540029681334476E-02   5.2971219348005310E+05
   7.6000000000000000E+04   8.1815851931311218E-02   5.4188114544916630E+05
   7.7000000000000000E+04   8.1109345015095757E-02   5.5415694837418548E+05
   7.8000000000000000E+04   8.0419866480800656E-02   5.6653883534921077E+05
   7.9000000000000000E+04   7.9746804897627477E-02   5.7902604820907605E+05
   8.0000000000000000E+04   7.9089578072599309E-02   5.9161783735272638E+05
   8.1000000000000000E+04   7.8447631223683562E-02   6.0431346157349157E+05
   8.2000000000000000E+04   7.7820435452259862E-02   6.1711218789585389E+05
   8.3000000000000000E+04   7.7207486185353447E-02   6.3001329141589976E+05
   8.4000000000000000E+04   7.6608301813959667E-02   6.4301605514910212E+05
   8.5000000000000000E+04   7.6022422378751869E-02   6.5611976988164394E+05
   8.6000000000000000E+04   7.5449408372587318E-02   6.6932373402649118E+05
   8.7000000000000000E+04   7.4888839593606607E-02   6.8262725348414166E+05
   8.8000000000000000E+04   7.4340314120656406E-02   6.9602964150623814E+05
   8.9000000000000000E+04   7.3803447268015465E-02   7.0953021856563247E+05
   9.0000000000000000E+04   7.3277870733424330E-02   7.2312831222908315E+05
   9.1000000000000000E+04   7.2763231685169488E-02   7.3682325703155552E+05
   9.2000000000000000E+04   7.2259191945989482E-02   7.5061439435905241E+05
   9.3000000000000000E+04   7.1765427275822052E-02   7.6450107233152050E+05
   9.4000000000000000E+04   7.1281626629365602E-02   7.7848264568781026E+05
   9.5000000000000000E+04   7.0807491482728413E-02   7.9255847567700432E+05
   9.6000000000000000E+04   7.0342735233869816E-02   8.0672792995034344E+05
