#Energy(eV) Si_K    Si_L1    Si_L2    Si_L3    
   1.0000000000000000E+00   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   2.0000000000000000E+00   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   3.0000000000000000E+00   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   4.0000000000000000E+00   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   5.0000000000000000E+00   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   6.0000000000000000E+00   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   7.0000000000000000E+00   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   8.0000000000000000E+00   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   8.1490000000000009E+00   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   8.1509999999999998E+00   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   9.0000000000000000E+00   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   1.0000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   1.1000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   1.2000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   1.3000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   1.3459000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   1.3460999999999999E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   1.4000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   1.5000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   1.6000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   1.7000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   1.8000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   1.9000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   2.0000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   2.1000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   2.2000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   2.3000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   2.4000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   2.5000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   2.6000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   2.7000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   2.8000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   2.9000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   3.0000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   3.1000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   3.2000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   3.3000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   3.4000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   3.5000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   3.6000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   3.7000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   3.8000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   3.9000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   4.0000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
   4.1000000000000000E+01   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31   2.0024432443071675E+31
