#Time    Z  Density
#fs    A   1/A^3
        0.000000 -1.0000000000000000E+19  0.0000000000000000E+00
        0.000000  0.0000000000000000E+00  0.0000000000000000E+00
        0.000000  1.0000000000000000E+19  0.0000000000000000E+00

       50.000000 -1.0000000000000000E+19  0.0000000000000000E+00
       50.000000  0.0000000000000000E+00  1.5827500000000055E-62
       50.000000  1.0000000000000000E+19  1.2602250000000102E-61

      100.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      100.000000  0.0000000000000000E+00  1.5827500000000055E-62
      100.000000  1.0000000000000000E+19  1.3647250000000108E-61

      150.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      150.000000  0.0000000000000000E+00  1.5827500000000055E-62
      150.000000  1.0000000000000000E+19  1.4107250000000113E-61

      200.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      200.000000  0.0000000000000000E+00  1.5827500000000055E-62
      200.000000  1.0000000000000000E+19  1.4349250000000116E-61

      250.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      250.000000  0.0000000000000000E+00  1.5827500000000055E-62
      250.000000  1.0000000000000000E+19  1.4493250000000116E-61

      300.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      300.000000  0.0000000000000000E+00  1.5827500000000055E-62
      300.000000  1.0000000000000000E+19  1.4592000000000118E-61

