#E    DOS k   me_eff
     -15.9500000000000934   1.3479076628501124E-05   1.8084517463205276E+10   7.8122486581268236E-01
     -15.9000000000000927   1.3819950564470461E-04   1.8084516447527737E+10   7.8368145975311443E-01
     -15.8500000000000920   2.6291993466093808E-04   1.8084506033889847E+10   7.8615273563004739E-01
     -15.8000000000000913   1.2300553523137015E-03   1.8084486222259144E+10   7.8863883282753899E-01
     -15.7500000000000906   2.1971907699666268E-03   1.8084393534140942E+10   7.9113433853201509E-01
     -15.7000000000000899   5.4401946512861298E-03   1.8084227967294117E+10   7.9363934253531609E-01
     -15.6500000000000892   8.6831985326057751E-03   1.8083818014479774E+10   7.9613883479147951E-01
     -15.6000000000000885   1.3924106577674398E-02   1.8083163642454994E+10   7.9863276083474088E-01
     -15.5500000000000878   1.9165014622742980E-02   1.8082114212994572E+10   8.0110772155331145E-01
     -15.5000000000000870   2.4009250592828272E-02   1.8080669588513699E+10   8.0356352729679181E-01
     -15.4500000000000863   2.8853486562913443E-02   1.8078859488390411E+10   8.0600265047413888E-01
     -15.4000000000000856   3.2809331059384279E-02   1.8076683693045422E+10   8.0842491877285572E-01
     -15.3500000000000849   3.6765175555854998E-02   1.8074208957196800E+10   8.1083616875970299E-01
     -15.3000000000000842   3.9998141874248785E-02   1.8071435035260075E+10   8.1323628136223325E-01
     -15.2500000000000835   4.3231108192642358E-02   1.8068416219424751E+10   8.1563006109519631E-01
     -15.2000000000000828   4.5455686596682705E-02   1.8065152264255116E+10   8.1801743435423957E-01
     -15.1500000000000821   4.7680265000723324E-02   1.8061719080560616E+10   8.2040524585821240E-01
     -15.1000000000000814   5.1137795218956471E-02   1.8058116475492554E+10   8.2279349118241130E-01
     -15.0500000000000806   5.4595325437189396E-02   1.8054251029581638E+10   8.2517364438331686E-01
     -15.0000000000000799   5.7129715108167251E-02   1.8050122405346210E+10   8.2754560907831176E-01
     -14.9500000000000792   5.9664104779144495E-02   1.8045800101528236E+10   8.2991571212308213E-01
     -14.9000000000000785   6.0032869697785984E-02   1.8041283840113560E+10   8.3228392196898637E-01
     -14.8500000000000778   6.0401634616428640E-02   1.8036737381858738E+10   8.3466538924551958E-01
     -14.8000000000000771   6.4432554910202444E-02   1.8032160681643219E+10   8.3706024625004716E-01
     -14.7500000000000764   6.8463475203975957E-02   1.8027275991726063E+10   8.3944276436610199E-01
     -14.7000000000000757   7.1694455532297141E-02   1.8022082811753448E+10   8.4181279433890688E-01
     -14.6500000000000750   7.4925435860617118E-02   1.8016641341269329E+10   8.4417587463274835E-01
     -14.6000000000000743   7.4787941224368173E-02   1.8010951130978649E+10   8.4653191276647410E-01
     -14.5500000000000735   7.4650446588119881E-02   1.8005267774918591E+10   8.4890495949194722E-01
     -14.5000000000000728   7.6193282464322692E-02   1.7999591287213844E+10   8.5129519148203536E-01
     -14.4500000000000721   7.7736118340526100E-02   1.7993793786377529E+10   8.5369065215012974E-01
     -14.4000000000000714   8.0639863050962463E-02   1.7987875039484646E+10   8.5609138492800108E-01
     -14.3500000000000707   8.3543607761399782E-02   1.7981731085727444E+10   8.5848752969121744E-01
     -14.3000000000000700   8.8490490318819323E-02   1.7975361464449421E+10   8.6087901630918529E-01
     -14.2500000000000693   9.3437372876236768E-02   1.7968609750934925E+10   8.6325078878064343E-01
     -14.2000000000000686   9.4141965493094323E-02   1.7961475084826725E+10   8.6560259746316903E-01
     -14.1500000000000679   9.4846558109949991E-02   1.7954280880690239E+10   8.6796554430875827E-01
     -14.1000000000000671   9.1784212230809362E-02   1.7947026997553493E+10   8.7033974108001733E-01
     -14.0500000000000664   8.8721866351672327E-02   1.7940001735967682E+10   8.7275336545377302E-01
     -14.0000000000000657   9.2456110944383094E-02   1.7933205635770885E+10   8.7520686633519840E-01
     -13.9500000000000650   9.6190355537096150E-02   1.7926118007147392E+10   8.7764966105517384E-01
     -13.9000000000000643   1.0396400623281803E-01   1.7918738160026962E+10   8.8008160027516391E-01
     -13.8500000000000636   1.1173765692853559E-01   1.7910755066933243E+10   8.8247195279282153E-01
     -13.8000000000000629   1.1234104646583555E-01   1.7902167115905590E+10   8.8482018700932619E-01
     -13.7500000000000622   1.1294443600313382E-01   1.7893524475040253E+10   8.8718048484403511E-01
     -13.7000000000000615   1.1089215306774837E-01   1.7884826989689026E+10   8.8955297088352403E-01
     -13.6500000000000608   1.0883987013236508E-01   1.7876279306013695E+10   8.9195820906285994E-01
     -13.6000000000000600   1.1017413680569564E-01   1.7867881858208363E+10   8.9439658256413190E-01
     -13.5500000000000593   1.1150840347902716E-01   1.7859373419639599E+10   8.9684220074448984E-01
     -13.5000000000000586   1.1428925960655004E-01   1.7850753676527622E+10   8.9929512847587956E-01
     -13.4500000000000579   1.1707011573407371E-01   1.7841910322563110E+10   9.0174411145062927E-01
     -13.4000000000000572   1.2099604122815476E-01   1.7832842696261196E+10   9.0418907216659028E-01
     -13.3500000000000565   1.2492196672223671E-01   1.7823461288144455E+10   9.0662089412381897E-01
     -13.3000000000000558   1.3006129953347051E-01   1.7813765111127922E+10   9.0903937899485265E-01
     -13.2500000000000551   1.3520063234470303E-01   1.7803658801668934E+10   9.1143466440419629E-01
     -13.2000000000000544   1.3871141378534521E-01   1.7793140967376938E+10   9.1380641548518404E-01
     -13.1500000000000536   1.4222219522597954E-01   1.7782337075702183E+10   9.1616736745111182E-01
     -13.1000000000000529   1.3573977873224657E-01   1.7771246090232594E+10   9.1851734344356994E-01
     -13.0500000000000522   1.2925736223851808E-01   1.7760647699200794E+10   9.2093712914866921E-01
