#Time    Z  Energy
#fs    A   eV/A^3
        0.000000 -1.0000000000000000E+19  0.0000000000000000E+00
        0.000000  0.0000000000000000E+00  0.0000000000000000E+00
        0.000000  1.0000000000000000E+19  0.0000000000000000E+00

       50.000000 -1.0000000000000000E+19  0.0000000000000000E+00
       50.000000  0.0000000000000000E+00  2.8423822916951711E-61
       50.000000  1.0000000000000000E+19  3.7422220310040091E-61

      100.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      100.000000  0.0000000000000000E+00  2.8423822916951707E-61
      100.000000  1.0000000000000000E+19  3.5993630533910548E-61

      150.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      150.000000  0.0000000000000000E+00  2.8423822916951707E-61
      150.000000  1.0000000000000000E+19  3.5391527675950032E-61

      200.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      200.000000  0.0000000000000000E+00  2.8423822916951711E-61
      200.000000  1.0000000000000000E+19  3.5082480530753309E-61

      250.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      250.000000  0.0000000000000000E+00  2.8423822916951707E-61
      250.000000  1.0000000000000000E+19  3.4901301770261654E-61

      300.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      300.000000  0.0000000000000000E+00  2.8423822916951707E-61
      300.000000  1.0000000000000000E+19  3.4778260269750169E-61

