#Energy(eV)    Elastic_MFP(A)
   6.7000010000000011E+03   1.2715378217880065E+02
   6.8000010000000011E+03   1.2888093144200204E+02
   6.9000010000000011E+03   1.3060623778527426E+02
   7.0000010000000011E+03   1.3232972104521104E+02
   7.1000010000000011E+03   1.3405140039503013E+02
   7.2000010000000011E+03   1.3577129437631072E+02
   7.3000010000000011E+03   1.3748942092879432E+02
   7.4000010000000011E+03   1.3920579741839032E+02
   7.5000010000000011E+03   1.4092044066354708E+02
   7.6000010000000011E+03   1.4263336696008685E+02
   7.7000010000000011E+03   1.4434459210456870E+02
   7.8000010000000011E+03   1.4605413141638871E+02
   7.9000010000000011E+03   1.4776199975859913E+02
   8.0000010000000011E+03   1.4946821155754535E+02
   8.1000010000000011E+03   1.5117278082150423E+02
   8.2000010000000002E+03   1.5287572115825031E+02
   8.3000010000000002E+03   1.5457704579169200E+02
   8.4000010000000002E+03   1.5627676757764266E+02
   8.5000010000000002E+03   1.5797489901878194E+02
   8.6000010000000002E+03   1.5967145227879791E+02
   8.7000010000000002E+03   1.6136643919583869E+02
   8.8000010000000002E+03   1.6305987129529288E+02
   8.9000010000000002E+03   1.6475175980191312E+02
   9.0000010000000002E+03   1.6644211565133060E+02
   9.1000010000000002E+03   1.6813094950104278E+02
   9.2000010000000002E+03   1.6981827174082733E+02
   9.3000010000000002E+03   1.7150409250271559E+02
   9.4000010000000002E+03   1.7318842167040773E+02
   9.5000010000000002E+03   1.7487126888835067E+02
   9.6000010000000002E+03   1.7655264357028898E+02
   9.7000010000000002E+03   1.7823255490753149E+02
   9.8000010000000002E+03   1.7991101187674298E+02
   9.9000010000000002E+03   1.8158802324743854E+02
   1.0000001000000000E+04   1.8326359758916126E+02
   1.1000001000000000E+04   1.9994205955815406E+02
   1.2000001000000000E+04   2.1648498971917482E+02
   1.3000001000000000E+04   2.3289850158686994E+02
   1.4000001000000000E+04   2.4918769185061169E+02
   1.5000001000000000E+04   2.6535688617515910E+02
   1.6000001000000000E+04   2.8140981308220819E+02
   1.7000001000000000E+04   2.9734973008033245E+02
   1.8000001000000000E+04   3.1317951716210587E+02
   1.9000001000000000E+04   3.2890174743675709E+02
   2.0000001000000000E+04   3.4451874138759308E+02
   2.1000001000000000E+04   3.6003260917343181E+02
   2.2000001000000000E+04   3.7544528404863388E+02
   2.3000001000000000E+04   3.9075854908383440E+02
   2.4000001000000000E+04   4.0597405876226316E+02
   2.5000001000000000E+04   4.2109335660704158E+02
   2.6000001000000000E+04   4.3611788969861749E+02
   2.7000001000000000E+04   4.5104902073015387E+02
   2.8000001000000000E+04   4.6588803809500439E+02
   2.9000001000000000E+04   4.8063616438692765E+02
   3.0000001000000000E+04   4.9529456360973728E+02
   3.1000001000000000E+04   5.0986434732967558E+02
   3.2000001000000000E+04   5.2434657995565408E+02
   3.3000001000000004E+04   5.3874228329477057E+02
   3.4000001000000004E+04   5.5305244050285808E+02
   3.5000001000000004E+04   5.6727799952540454E+02
   3.6000001000000004E+04   5.8141987610970102E+02
   3.7000001000000004E+04   5.9547895645080052E+02
   3.8000001000000004E+04   6.0945609952661903E+02
   3.9000001000000004E+04   6.2335213916534428E+02
   4.0000001000000004E+04   6.3716788588353211E+02
   4.1000001000000004E+04   6.5090412852462532E+02
   4.2000001000000004E+04   6.6456163572567550E+02
   4.3000001000000004E+04   6.7814115723348186E+02
   4.4000001000000004E+04   6.9164342508926120E+02
   4.5000001000000004E+04   7.0506915469833814E+02
   4.6000001000000004E+04   7.1841904579918673E+02
   4.7000001000000004E+04   7.3169378334157773E+02
   4.8000001000000004E+04   7.4489403828708987E+02
   4.9000001000000004E+04   7.5802046833907923E+02
   5.0000001000000004E+04   7.7107371860928038E+02
   5.1000001000000004E+04   7.8405442223010334E+02
   5.2000001000000004E+04   7.9696320091633743E+02
   5.3000001000000004E+04   8.0980066548174420E+02
   5.4000001000000004E+04   8.2256741631715261E+02
   5.5000001000000004E+04   8.3526404383036368E+02
   5.6000001000000004E+04   8.4789112885520638E+02
   5.7000001000000004E+04   8.6044924302987317E+02
   5.8000001000000004E+04   8.7293894914950567E+02
   5.9000001000000004E+04   8.8536080149435395E+02
   6.0000001000000004E+04   8.9771534613474205E+02
   6.1000001000000004E+04   9.1000312121762090E+02
   6.2000001000000004E+04   9.2222465723483890E+02
   6.3000001000000004E+04   9.3438047727166952E+02
   6.4000001000000004E+04   9.4647109724496818E+02
   6.5000001000000004E+04   9.5849702612228157E+02
   6.6000001000000004E+04   9.7045876613153018E+02
   6.7000001000000004E+04   9.8235681295750715E+02
   6.8000001000000004E+04   9.9419165592661000E+02
   6.9000001000000004E+04   1.0059637781834916E+03
   7.0000001000000004E+04   1.0176736568562731E+03
   7.1000001000000004E+04   1.0293217632147928E+03
   7.2000001000000004E+04   1.0409085628194789E+03
   7.3000001000000004E+04   1.0524345156638835E+03
   7.4000001000000004E+04   1.0639000763098657E+03
   7.5000001000000004E+04   1.0753056940153801E+03
   7.6000001000000004E+04   1.0866518128588334E+03
   7.7000001000000004E+04   1.0979388718554981E+03
   7.8000001000000004E+04   1.1091673050690163E+03
   7.9000001000000004E+04   1.1203375417193511E+03
   8.0000001000000004E+04   1.1314500062850457E+03
   8.1000001000000004E+04   1.1425051186022613E+03
   8.2000001000000004E+04   1.1535032939572141E+03
   8.3000001000000004E+04   1.1644449431787004E+03
   8.4000001000000004E+04   1.1753304727249679E+03
   8.5000001000000004E+04   1.1861602847662580E+03
   8.6000001000000004E+04   1.1969347772665787E+03
   8.7000001000000004E+04   1.2076543440605776E+03
   8.8000001000000004E+04   1.2183193749296804E+03
   8.9000001000000004E+04   1.2289302556727703E+03
   9.0000001000000004E+04   1.2394873681772426E+03
   9.1000001000000004E+04   1.2499910904867129E+03
   9.2000001000000004E+04   1.2604417968645903E+03
   9.3000001000000004E+04   1.2708398578584008E+03
   9.4000001000000004E+04   1.2811856403619597E+03
   9.5000001000000004E+04   1.2914795076721850E+03
   9.6000001000000004E+04   1.3017218195488972E+03
   9.7000001000000004E+04   1.3119129322699066E+03
   9.8000001000000004E+04   1.3220531986832509E+03
   9.9000001000000004E+04   1.3321429682635180E+03
   1.0000000100000000E+05   1.3421825871591454E+03
   1.1000000100000000E+05   1.4398943599266156E+03
   1.2000000100000000E+05   1.5329489023480498E+03
   1.3000000100000000E+05   1.6216442346767844E+03
   1.4000000099999999E+05   1.7062535729439119E+03
   1.5000000099999999E+05   1.7870281030527672E+03
   1.6000000099999999E+05   1.8641993052302057E+03
   1.7000000099999999E+05   1.9379809366344725E+03
   1.8000000099999999E+05   2.0085707450998734E+03
   1.9000000099999999E+05   2.0761519656468713E+03
   2.0000000099999999E+05   2.1408946377537950E+03
   2.1000000099999999E+05   2.2029567722246475E+03
   2.2000000099999999E+05   2.2624853901595111E+03
   2.3000000099999999E+05   2.3196174520397662E+03
   2.4000000099999999E+05   2.3744806915347467E+03
   2.5000000099999999E+05   2.4271943661648584E+03
   2.6000000099999999E+05   2.4778699349158051E+03
   2.7000000099999999E+05   2.5266116714263053E+03
   2.8000000099999999E+05   2.5735172200668326E+03
   2.9000000099999999E+05   2.6186781012263705E+03
   3.0000000099999999E+05   2.6621801712482757E+03
   3.1000000099999999E+05   2.7041040418534080E+03
   3.2000000099999999E+05   2.7445254631417088E+03
   3.3000000099999999E+05   2.7835156738813480E+03
   3.4000000099999999E+05   2.8211417223453427E+03
   3.5000000099999999E+05   2.8574667605162676E+03
   3.6000000099999999E+05   2.8925503142021516E+03
   3.7000000099999999E+05   2.9264485313802825E+03
   3.8000000099999999E+05   2.9592144107559893E+03
   3.9000000099999999E+05   2.9908980122961793E+03
   4.0000000099999999E+05   3.0215466514716632E+03
   4.1000000099999999E+05   3.0512050785445599E+03
   4.2000000099999999E+05   3.0799156442589765E+03
   4.3000000099999999E+05   3.1077184531414123E+03
   4.4000000099999999E+05   3.1346515054039751E+03
   4.5000000099999999E+05   3.1607508284663904E+03
   4.6000000099999999E+05   3.1860505989694884E+03
   4.7000000099999999E+05   3.2105832559721675E+03
   4.8000000099999999E+05   3.2343796061927605E+03
   4.9000000099999999E+05   3.2574689218323556E+03
   5.0000000099999999E+05   3.2798790315947531E+03
   5.1000000099999999E+05   3.3016364054718224E+03
   5.2000000099999999E+05   3.3227662337322085E+03
   5.3000000099999993E+05   3.3432925006252176E+03
   5.4000000099999993E+05   3.3632380531338431E+03
   5.5000000099999993E+05   3.3826246652117529E+03
   5.6000000099999993E+05   3.4014730977797317E+03
   5.7000000099999993E+05   3.4198031548974182E+03
   5.8000000099999993E+05   3.4376337362602367E+03
   5.9000000099999993E+05   3.4549828864024103E+03
   6.0000000099999993E+05   3.4718678407952261E+03
   6.1000000099999993E+05   3.4883050690621299E+03
   6.2000000099999993E+05   3.5043103154679206E+03
   6.3000000099999993E+05   3.5198986370662924E+03
   6.4000000099999993E+05   3.5350844393306829E+03
   6.5000000099999993E+05   3.5498815098406390E+03
   6.6000000099999993E+05   3.5643030497942318E+03
   6.7000000099999993E+05   3.5783617037665113E+03
   6.8000000099999993E+05   3.5920695876482719E+03
   6.9000000099999993E+05   3.6054383149630821E+03
   7.0000000099999993E+05   3.6184790217819955E+03
   7.1000000099999993E+05   3.6312023899861524E+03
   7.2000000099999993E+05   3.6436186694572298E+03
   7.3000000099999993E+05   3.6557376988481710E+03
   7.4000000099999993E+05   3.6675689252171064E+03
   7.5000000099999993E+05   3.6791214226993920E+03
   7.6000000099999993E+05   3.6904039099434058E+03
   7.7000000099999993E+05   3.7014247668052681E+03
   7.8000000099999993E+05   3.7121920499781013E+03
   7.9000000099999993E+05   3.7227135078746555E+03
   8.0000000099999993E+05   3.7329965947257551E+03
   8.1000000099999993E+05   3.7430484838069469E+03
   8.2000000099999993E+05   3.7528760801777926E+03
   8.3000000099999993E+05   3.7624860325594591E+03
   8.4000000099999993E+05   3.7718847446836871E+03
   8.5000000099999993E+05   3.7810783861115574E+03
   8.6000000099999993E+05   3.7900729023851100E+03
   8.7000000099999993E+05   3.7988740247882606E+03
   8.8000000099999993E+05   3.8074872795317760E+03
   8.9000000099999993E+05   3.8159179964588880E+03
   9.0000000099999993E+05   3.8241713174217989E+03
   9.1000000099999993E+05   3.8322522042026271E+03
   9.2000000099999993E+05   3.8401654459931178E+03
   9.3000000099999993E+05   3.8479156665464006E+03
   9.4000000099999993E+05   3.8555073311058359E+03
   9.5000000099999993E+05   3.8629447527031748E+03
   9.6000000099999993E+05   3.8702320985182482E+03
   9.7000000099999993E+05   3.8773733956743254E+03
