#Energy(eV) Valence Total
   1.0000000000000000E+00   1.0000000000000000E+30   1.0000000000000000E+30
   2.0000000000000000E+00   3.4529873448987863E+04   3.4529873448987863E+04
   3.0000000000000000E+00   1.4817127297200956E+04   1.4817127297200956E+04
   4.0000000000000000E+00   7.9270244688874782E+03   7.9270244688874782E+03
   5.0000000000000000E+00   4.7481585790046256E+03   4.7481585790046256E+03
   6.0000000000000000E+00   3.0322605195548226E+03   3.0322605195548226E+03
   7.0000000000000000E+00   2.0089781471962585E+03   2.0089781471962585E+03
   8.0000000000000000E+00   1.3565264365361536E+03   1.3565264365361536E+03
   8.1490000000000009E+00   1.2804223969852862E+03   1.2804223969852862E+03
   8.1509999999999998E+00   1.2794312960463681E+03   1.2794312960463681E+03
   9.0000000000000000E+00   9.2117930533037350E+02   9.2117930533037350E+02
   1.0000000000000000E+01   6.2197062357076982E+02   6.2197062357076982E+02
   1.1000000000000000E+01   4.1296468175050535E+02   4.1296468175050535E+02
   1.2000000000000000E+01   2.6652580365927673E+02   2.6652580365927673E+02
   1.3000000000000000E+01   1.6521899743698376E+02   1.6521899743698376E+02
   1.3459000000000000E+01   1.3053605544167755E+02   1.3053605544167755E+02
   1.3460999999999999E+01   1.3039911052301375E+02   1.3039911052301375E+02
   1.4000000000000000E+01   9.7603940966221941E+01   9.7603940966221941E+01
   1.5000000000000000E+01   5.5921527314554432E+01   5.5921527314554432E+01
   1.6000000000000000E+01   3.4758779143410749E+01   3.4758779143410749E+01
   1.7000000000000000E+01   3.0246325371273027E+01   3.0246325371273027E+01
   1.8000000000000000E+01   3.9558797629809256E+01   3.9558797629809256E+01
   1.9000000000000000E+01   6.0594184612047734E+01   6.0594184612047734E+01
   2.0000000000000000E+01   9.1762463923380594E+01   9.1762463923380594E+01
   2.1000000000000000E+01   1.3184293201150663E+02   1.3184293201150663E+02
   2.2000000000000000E+01   1.7988585064741534E+02   1.7988585064741534E+02
   2.3000000000000000E+01   2.3514334838721237E+02   2.3514334838721237E+02
   2.4000000000000000E+01   2.9702003874933774E+02   2.9702003874933774E+02
   2.5000000000000000E+01   3.6503717799553613E+02   3.6503717799553613E+02
   2.6000000000000000E+01   4.3880628026412285E+02   4.3880628026412285E+02
   2.7000000000000000E+01   5.1800944203839890E+02   5.1800944203839890E+02
   2.8000000000000000E+01   6.0238449466241923E+02   6.0238449466241923E+02
   2.9000000000000000E+01   6.9171367691533180E+02   6.9171367691533180E+02
   3.0000000000000000E+01   7.8581490521111812E+02   7.8581490521111812E+02
   3.1000000000000000E+01   8.8453498228308069E+02   8.8453498228308069E+02
   3.2000000000000000E+01   9.8774426757557637E+02   9.8774426757557637E+02
   3.3000000000000000E+01   1.0953324605445127E+03   1.0953324605445127E+03
   3.4000000000000000E+01   1.2072052389854148E+03   1.2072052389854148E+03
   3.5000000000000000E+01   1.3232815598364534E+03   1.3232815598364534E+03
   3.6000000000000000E+01   1.4434914773485502E+03   1.4434914773485502E+03
   3.7000000000000000E+01   1.5677743683169897E+03   1.5677743683169897E+03
   3.8000000000000000E+01   1.6960774798382397E+03   1.6960774798382397E+03
   3.9000000000000000E+01   1.8283547343054408E+03   1.8283547343054408E+03
   4.0000000000000000E+01   1.9645657408558318E+03   1.9645657408558318E+03
   4.1000000000000000E+01   2.1046749734913819E+03   2.1046749734913819E+03
   4.2000000000000000E+01   2.2486510845132511E+03   2.2486510845132511E+03
   4.3000000000000000E+01   2.3964663283956711E+03   2.3964663283956711E+03
   4.4000000000000000E+01   2.5480960762532445E+03   2.5480960762532445E+03
   4.5000000000000000E+01   2.7035184049794875E+03   2.7035184049794875E+03
   4.6000000000000000E+01   2.7820008102829502E+03   2.7820008102829502E+03
   4.7000000000000000E+01   2.8069466720334040E+03   2.8069466720334040E+03
   4.8000000000000000E+01   2.8342828138159020E+03   2.8342828138159020E+03
   4.9000000000000000E+01   2.8641973021836397E+03   2.8641973021836397E+03
   5.0000000000000000E+01   2.8964244951098999E+03   2.8964244951098999E+03
   5.1000000000000000E+01   2.9304865963776647E+03   2.9304865963776647E+03
   5.2000000000000000E+01   2.9679644372317957E+03   2.9679644372317957E+03
   5.3000000000000000E+01   3.0064133007642417E+03   3.0064133007642417E+03
   5.4000000000000000E+01   3.0488115359478211E+03   3.0488115359478211E+03
   5.5000000000000000E+01   3.0926280964130856E+03   3.0926280964130856E+03
   5.6000000000000000E+01   3.1367126267216076E+03   3.1367126267216076E+03
   5.7000000000000000E+01   3.1834575709593146E+03   3.1834575709593146E+03
   5.8000000000000000E+01   3.2322443662169599E+03   3.2322443662169599E+03
   5.9000000000000000E+01   3.2839938481689219E+03   3.2839938481689219E+03
   6.0000000000000000E+01   3.3356706344355766E+03   3.3356706344355766E+03
   6.1000000000000000E+01   3.3886148730466189E+03   3.3886148730466189E+03
   6.2000000000000000E+01   3.4437395018277498E+03   3.4437395018277498E+03
   6.3000000000000000E+01   3.5013129766266161E+03   3.5013129766266161E+03
   6.4000000000000000E+01   3.5608442437923995E+03   3.5608442437923995E+03
   6.5000000000000000E+01   3.6197262797895023E+03   3.6197262797895023E+03
   6.6000000000000000E+01   3.6803337517422101E+03   3.6803337517422101E+03
   6.7000000000000000E+01   3.7428995264415707E+03   3.7428995264415707E+03
   6.8000000000000000E+01   3.8068384260876360E+03   3.8068384260876360E+03
   6.9000000000000000E+01   3.8729997919695029E+03   3.8729997919695029E+03
   7.0000000000000000E+01   3.9416163304018260E+03   3.9416163304018260E+03
   7.1000000000000000E+01   4.0090048402603711E+03   4.0090048402603711E+03
